//bag_write_stamp,header/frame_id,header/stamp/nanosec,header/stamp/sec,wrench/force/x,wrench/force/y,wrench/force/z,wrench/torque/x,wrench/torque/y,wrench/torque/z
1774368227.4796715,bota_frame,479530278,1774368227,-0.06923703590497521,-0.16495333935473866,-0.13650312232926964,-0.006351407309750257,-0.005048082858124803,-0.007271565496921539
1774368227.481691,bota_frame,481537403,1774368227,-0.032969882696074926,-0.06721949557743301,-0.11887855167698902,-0.0026834219767593037,-0.006042558350011801,-0.006195686757564545
1774368227.4836674,bota_frame,483520355,1774368227,-0.18425552348812912,-0.01132587803074614,-0.11319819122071806,-0.001724253515649976,-0.0036403180288227255,-0.0035786107182502747
1774368227.4856002,bota_frame,485471499,1774368227,-0.08688201617716329,-0.15014222734471616,-0.13751603937353174,-0.005531148808710196,-0.005112990033447201,-0.007280200719833374
1774368227.4876037,bota_frame,487474240,1774368227,-0.12653430678808464,-0.04975373105494896,-0.15767424323112067,-0.0013844406022546218,-0.00489732637195428,-0.004333406686782837
1774368227.4894686,bota_frame,489345999,1774368227,-0.16813825548070804,-0.011865247664928802,-0.15207426758160025,-0.0024751443647563764,-0.002522450305662366,-0.004885055124759674
1774368227.491785,bota_frame,491603383,1774368227,-0.07951019538820114,-0.029348361588368732,-0.17286705853615025,-0.0026219610833806417,-0.00496725079915683,-0.0041097551584243774
1774368227.4936633,bota_frame,493519034,1774368227,-0.05418283463297424,-0.14857923822336971,-0.15736646137173693,-0.004730679155612982,-0.005663722276977506,-0.0052318274974823
1774368227.4956973,bota_frame,495554655,1774368227,-0.038962112531037096,-0.142464866997301,-0.19321639042123273,-0.00601123903835199,-0.006229340533352307,-0.00517638772726059
1774368227.497498,bota_frame,497369911,1774368227,-0.016881521904397623,-0.22441172165449785,-0.15790301337546353,-0.005913970037260685,-0.004898886992183632,-0.0035748854279518127
1774368227.4995427,bota_frame,499381128,1774368227,0.0018820079286721025,-0.12265232125068337,-0.08225352520974383,-0.003998662934025732,-0.007248591959030076,-0.008057452738285065
1774368227.501553,bota_frame,501421433,1774368227,-0.08741057523632145,-0.1073617668585527,-0.1547059211632842,-0.003485954807562641,-0.0055073874475598805,-0.0026170462369918823
1774368227.503562,bota_frame,503439546,1774368227,-0.1238714537077934,-0.17617131731913105,-0.11525159294949816,-0.006693875245002756,-0.00382875383292805,-0.006533406674861908
1774368227.5055194,bota_frame,505421867,1774368227,-0.023990552542723087,-0.11680411849961558,-0.19243192305951773,-0.005610299276357145,-0.006480163370002678,-0.004986979067325592
1774368227.5073647,bota_frame,507280845,1774368227,0.03018001417420635,-0.05147002813712476,-0.11237580309383688,-0.004808751241305753,-0.007043005637786426,-0.0057554692029953
