//bag_write_stamp,header/frame_id,header/stamp/nanosec,header/stamp/sec,pose/orientation/w,pose/orientation/x,pose/orientation/y,pose/orientation/z,pose/position/x,pose/position/y,pose/position/z
1774368227.4775584,base,477345951,1774368227,-0.006375255490496881,0.9382134650752378,0.345991056540692,-0.002244741143656082,-0.21687218948515646,0.38432767016276476,0.3496817579530545
1774368227.4784946,base,478339572,1774368227,-0.006372495634099813,0.9382141454978001,0.34598926294138604,-0.002244641731463839,-0.21687191024537306,0.3843259409245617,0.34967908622708127
1774368227.479474,base,479326037,1774368227,-0.006373885089749003,0.9382131285460694,0.3459919904565697,-0.0022453401880961205,-0.21687435175389963,0.38432581274799227,0.3496806951032377
1774368227.4804356,base,480303348,1774368227,-0.006375129843633744,0.9382133161432193,0.34599145821829086,-0.002245433365975095,-0.2168714552910442,0.3843270621973534,0.3496809048147537
1774368227.481461,base,481331436,1774368227,-0.00637541327488662,0.9382131516742056,0.34599189875525455,-0.002245468071950299,-0.21687159602299735,0.38432716299935654,0.34968078504071287
1774368227.4824915,base,482354183,1774368227,-0.006373476803595089,0.9382134378314584,0.3459911594408339,-0.0022453183955706488,-0.2168724234589681,0.3843263902972955,0.3496798324166396
1774368227.4833603,base,483259812,1774368227,-0.006374561464814771,0.9382143865673864,0.34598856396835204,-0.0022457531546285097,-0.2168722860056629,0.38432767264943696,0.3496814498954229
1774368227.4844859,base,484320818,1774368227,-0.0063733042740935384,0.9382136240742117,0.34599066482684393,-0.002244202941362439,-0.21687067489457268,0.38432743709221434,0.34967989873496497
1774368227.4853814,base,485294430,1774368227,-0.00637286684338677,0.938215445040665,0.34598572687819173,-0.0022454513828272927,-0.21687057091467635,0.38432734046555167,0.3496784119059022
1774368227.4864585,base,486308351,1774368227,-0.00637331307498109,0.9382153914476318,0.34598586376181223,-0.0022454861852661957,-0.21687078246940553,0.3843273316752857,0.3496784457804877
1774368227.4874356,base,487322038,1774368227,-0.006374563799899916,0.9382135434108547,0.3459908562389867,-0.0022448375936885315,-0.21687237068732582,0.3843271767184265,0.3496806773305477
1774368227.4884708,base,488309958,1774368227,-0.006377303360344412,0.938214539389847,0.3459881045066341,-0.0022449096315275887,-0.21687077309265235,0.3843294467901796,0.3496820028168917
1774368227.489414,base,489308184,1774368227,-0.006374042833333714,0.938214485701341,0.3459883109622106,-0.0022447885520772127,-0.21687142443287438,0.38432685807316225,0.3496805555573521
1774368227.4905066,base,490333489,1774368227,-0.006375635410963601,0.9382143320790294,0.34598869658818787,-0.002245036261211886,-0.21687181582082798,0.3843278229364245,0.3496822611497752
1774368227.491489,base,491328865,1774368227,-0.006375790908710629,0.9382143688340119,0.3459885928777478,-0.002245217620008346,-0.21687179296263828,0.38432775970516164,0.34968252094270963
1774368227.492511,base,492394133,1774368227,-0.006376795461551663,0.9382144257075717,0.3459884143967112,-0.0022461026473801033,-0.21687298034302163,0.38432781985304654,0.34968333492629977
1774368227.493492,base,493360409,1774368227,-0.006376197364340943,0.9382137919768597,0.34599014133198913,-0.0022464978617940234,-0.21687247073031335,0.3843265734524215,0.34968175725131767
1774368227.4944649,base,494332182,1774368227,-0.006373273265983896,0.9382144062754917,0.3459885368882707,-0.002245347838851627,-0.21687225480753178,0.38432629343339675,0.34968005005007363
1774368227.4954734,base,495317686,1774368227,-0.006372907405968876,0.9382158553498365,0.34598461409500936,-0.0022453576323055637,-0.21686919706706773,0.38432804731842757,0.34967968565686014
1774368227.496429,base,496325241,1774368227,-0.0063727066168022175,0.9382158567843558,0.3459846142615293,-0.0022453024460362203,-0.21686918136164948,0.3843280212898378,0.3496795859714634
1774368227.4974093,base,497320409,1774368227,-0.006371369413974704,0.9382136521291526,0.3459906231481244,-0.002244393869324794,-0.21687207939462758,0.38432589576775633,0.34967805051980533
1774368227.4984028,base,498323875,1774368227,-0.006373835190012227,0.9382137032856267,0.34599043179104005,-0.0022455068670933576,-0.21687314156204793,0.3843254891454601,0.3496797964099534
1774368227.4993916,base,499300751,1774368227,-0.006372655861743783,0.9382154163741039,0.3459858082654811,-0.0022454875008235922,-0.21687173769727372,0.38432621203151307,0.3496789966582018
1774368227.500416,base,500335170,1774368227,-0.0063721427188091,0.9382153053549583,0.34598611943083624,-0.0022453855046432134,-0.21686909629380452,0.3843271678615384,0.3496795987376807
1774368227.5014098,base,501322263,1774368227,-0.006372361474465289,0.9382150332777398,0.3459868526032372,-0.0022454769190907975,-0.21686898649925646,0.3843271783187017,0.3496798841361639
1774368227.502405,base,502326831,1774368227,-0.006371637326139014,0.9382142264784621,0.34598906952158126,-0.0022430431996629113,-0.2168709075033551,0.3843263909486547,0.3496796813913362
1774368227.5034318,base,503347501,1774368227,-0.006375848293493244,0.9382145649223118,0.34598805823139556,-0.0022455038285148976,-0.21687184591457448,0.38432753958549787,0.34968166284403
1774368227.5044456,base,504371975,1774368227,-0.006375913959188901,0.9382140516593714,0.34598945675508647,-0.0022442826050630875,-0.2168714500195021,0.3843273847935241,0.34968224386906427
1774368227.505417,base,505345711,1774368227,-0.006374429745294111,0.9382143824152729,0.34598858661617415,-0.0022443720486110667,-0.21687034877625685,0.3843282258163217,0.3496811678328372
1774368227.5064864,base,506417618,1774368227,-0.006374168554643618,0.9382144749625021,0.34598833902852616,-0.002244594029021868,-0.21687041110072583,0.38432825379115526,0.3496810408876056
1774368227.5074654,base,507343177,1774368227,-0.006375249310853798,0.9382146460397667,0.3459878520541183,-0.002245079882174544,-0.21687255597225946,0.3843271594711399,0.34968181450492947
1774368227.5085373,base,508431329,1774368227,-0.006374073769332637,0.9382152527970956,0.34598622712180266,-0.0022452715838947555,-0.21686951699486312,0.38432832260459243,0.34967996039175575
1774368227.509541,base,509359832,1774368227,-0.006377343177878635,0.938214614752528,0.34598790222109976,-0.0022444766427200742,-0.2168713428975596,0.38432907975066094,0.34968314513568144
1774368227.5105083,base,510383941,1774368227,-0.006371761550407067,0.9382150709420986,0.3459867666377949,-0.002244687813901684,-0.21686887115027373,0.38432758303408565,0.34967883423118107
1774368227.5114765,base,511366098,1774368227,-0.006370951980538364,0.9382152591117681,0.3459862697696828,-0.002244921281448201,-0.21686845671216023,0.38432734095413756,0.34967825219876103
1774368227.5125213,base,512423057,1774368227,-0.006370811821791491,0.9382145269901373,0.3459882567099294,-0.0022450657514686547,-0.21687116243194063,0.38432502958471265,0.3496782076322535
1774368227.5134308,base,513347721,1774368227,-0.006374824933258532,0.9382152511563565,0.34598621405810576,-0.002245837577340662,-0.21686961833928814,0.38432886834036745,0.34968183118081225
1774368227.5144627,base,514409063,1774368227,-0.006373848875310767,0.9382136885207959,0.34599047671054683,-0.002244715644833453,-0.21687239148423815,0.3843268920616587,0.34968054603503035
1774368227.5154889,base,515343083,1774368227,-0.0063707973486133015,0.9382140490028802,0.34598955716290275,-0.002244444025226284,-0.2168700558529768,0.3843260678706439,0.3496778277264739
1774368227.5164819,base,516339439,1774368227,-0.006370443362212597,0.9382140823156856,0.34598947374779826,-0.002244382237152217,-0.21686996705984657,0.38432586166424426,0.3496775087923254
1774368227.5174866,base,517343274,1774368227,-0.006376140818917466,0.9382142794379624,0.34598882416253096,-0.0022459389109164064,-0.21687139150851872,0.384328801930568,0.34968187370025494
1774368227.5184839,base,518371673,1774368227,-0.006374666508519555,0.938215708426572,0.3459849764301423,-0.0022459236774001337,-0.2168705399995374,0.38432920078699373,0.34968134730288153
1774368227.5194938,base,519306940,1774368227,-0.006375812623169896,0.9382144121737038,0.34598847022399776,-0.002245946349216901,-0.21687043719320262,0.3843286386502399,0.3496823225349066
1774368227.5205178,base,520340149,1774368227,-0.006376173568890451,0.938214229073575,0.3459889604266822,-0.0022458934436923525,-0.21687125338965713,0.38432828944478675,0.34968243587139414
1774368227.521539,base,521371043,1774368227,-0.006375910512520818,0.9382142246865475,0.3459889779672374,-0.002245770723737673,-0.21687127170079196,0.3843282848276024,0.3496822170185654
1774368227.5225616,base,522412425,1774368227,-0.006374922288936104,0.9382130255372106,0.34599225757508073,-0.0022442763248892777,-0.21687200072042395,0.3843263414691851,0.3496813684175494
1774368227.5235124,base,523354636,1774368227,-0.006378472453930849,0.9382142639506283,0.3459888235077984,-0.0022458887828021097,-0.21687087137396008,0.38432952121211106,0.3496836148473746
1774368227.5245678,base,524427150,1774368227,-0.006376469460513692,0.9382142019523743,0.3459890312948565,-0.0022454655943234102,-0.21687047144918542,0.38432877356652967,0.3496825479871578
1774368227.5254307,base,525286906,1774368227,-0.006372727309404201,0.9382141827236912,0.3459891535476929,-0.002245286197180013,-0.21687073001700133,0.384327088943515,0.34967842125412874
1774368227.5264406,base,526306923,1774368227,-0.00637302535648282,0.9382140602680846,0.34598947962478843,-0.0022453623423891057,-0.21687079775553847,0.3843271875598376,0.34967840349279455
1774368227.5275092,base,527348317,1774368227,-0.006375041913667667,0.9382124231707785,0.3459938869396718,-0.0022445598661328453,-0.2168726084785405,0.3843271679656012,0.349680759932706
1774368227.5285525,base,528417661,1774368227,-0.006372751430099698,0.9382142222909554,0.34598905088443016,-0.0022445040162992983,-0.21687100086437827,0.3843269269485603,0.3496796499165026
1774368227.529457,base,529304095,1774368227,-0.0063717189150374635,0.9382143387867669,0.345988748859795,-0.002245296285885751,-0.21687015768507606,0.3843275094796492,0.3496787336565596
1774368227.5305047,base,530371316,1774368227,-0.006375541765767081,0.9382139041700401,0.3459898544854114,-0.0022456808249321676,-0.2168713153812584,0.38432851780390503,0.34968273048242876
1774368227.5315087,base,531345633,1774368227,-0.0063755249093311785,0.9382137503444253,0.3459902719664491,-0.002245673921416866,-0.2168712916102918,0.38432852544207474,0.3496827268813291
1774368227.5325623,base,532407595,1774368227,-0.006373765632563096,0.9382137944678371,0.3459901854358222,-0.0022455654097741306,-0.21687108482322653,0.38432803507269137,0.34968119140815906
1774368227.53344,base,533289738,1774368227,-0.006373235011785538,0.9382145209632927,0.3459882308253354,-0.002244695849809434,-0.21687038927668023,0.38432717163237406,0.34968024066065573
1774368227.5345287,base,534373574,1774368227,-0.006376424723069889,0.9382137315897981,0.34599030726362945,-0.0022455163585357123,-0.21687113491082982,0.384327819950011,0.34968234344697946
1774368227.535453,base,535296816,1774368227,-0.00637472106694119,0.9382147055068886,0.3459876922824997,-0.002246350589553473,-0.21687085035832274,0.38432692935911333,0.34968033054831593
1774368227.5366023,base,536433165,1774368227,-0.006375007076432532,0.9382147431862917,0.34598758437961175,-0.0022464211130599635,-0.21687083037533086,0.3843269931666882,0.34968046578857154
1774368227.5375,base,537351647,1774368227,-0.0063751328247554475,0.9382143339555039,0.345988700736385,-0.0022450400097212783,-0.2168711293402527,0.3843278673377665,0.34968117360386197
1774368227.5384889,base,538332872,1774368227,-0.006377251284845955,0.9382148237377059,0.3459873221647584,-0.002246794635699831,-0.21687293786352518,0.38432780551962364,0.3496825590832686
1774368227.5394433,base,539299643,1774368227,-0.006376870575571486,0.938213830571768,0.3459900348583075,-0.0022448662007684655,-0.21687181062190325,0.38432790786455473,0.34968298864110814
1774368227.5405717,base,540427548,1774368227,-0.006377290744358444,0.9382139923832788,0.3459895783565261,-0.0022464032727927924,-0.21687304830993673,0.38432773292404177,0.34968254176567626
1774368227.5415084,base,541345233,1774368227,-0.0063779593248798234,0.9382139415904978,0.34598970106644733,-0.002246819089903686,-0.21687340529901228,0.38432764300239297,0.34968291915938654
1774368227.5425856,base,542423726,1774368227,-0.006373423498896865,0.9382154922384627,0.3459855876613778,-0.0022456017576697597,-0.21686991526757332,0.38432846130028325,0.3496800654114755
1774368227.5434382,base,543290996,1774368227,-0.006374028202720668,0.9382142360988603,0.3459889946131561,-0.0022437808449678677,-0.21687130579176173,0.38432750668791243,0.34968060191538525
1774368227.5446603,base,544433121,1774368227,-0.006374614524151037,0.9382132302842048,0.345991707036636,-0.0022444311575425106,-0.21687254320706265,0.3843273816277313,0.3496813708072111
1774368227.5454328,base,545285692,1774368227,-0.006370708522664352,0.9382146617719134,0.3459878979714892,-0.002244318694757677,-0.21686881061030805,0.384327469894793,0.34967769976908897
1774368227.5464978,base,546362171,1774368227,-0.006370265963415712,0.9382147972529613,0.34598753807594906,-0.0022444204783880566,-0.21686846436728552,0.384327395693208,0.34967734240678755
1774368227.5474815,base,547350689,1774368227,-0.00637499173130089,0.938213549354845,0.34599083059774105,-0.002245090130695681,-0.2168728485179648,0.38432683007588114,0.3496804757339765
1774368227.5483856,base,548293944,1774368227,-0.006377964136210797,0.9382146319054671,0.34598783844096326,-0.0022453736695841526,-0.216872972499259,0.38432842152492575,0.34968275097462703
1774368227.5493975,base,549246838,1774368227,-0.006376039694337044,0.938214075709631,0.3459893905214418,-0.0022440821598803365,-0.21687115766156456,0.3843285811652589,0.3496815437607563
1774368227.5505786,base,550424664,1774368227,-0.006376552515775035,0.9382139573918411,0.34598969387538814,-0.0022453207275208676,-0.21687160862998692,0.3843293186858182,0.34968309926333524
1774368227.5514503,base,551322909,1774368227,-0.006376661091835278,0.9382141500372425,0.3459891671668819,-0.0022456772657399983,-0.21687162435113122,0.3843292532423755,0.3496833666655464
